Gene.symbol,ID,adj.P.Val,P.Value,t,B,logFC,Gene.title
,A_23_P206718,9.21E-01,8.91E-01,-0.137896,-6.36314,-0.0355004,
REG1A,A_23_P90743,9.21E-01,8.91E-01,0.137467,-6.363198,0.3083897,regenerating family member 1 alpha
,A_24_P157644,9.21E-01,8.91E-01,-0.137415,-6.363206,-0.0531339,
MIRLET7BHG,A_32_P330000,9.21E-01,8.91E-01,-0.137261,-6.363226,-0.0512779,MIRLET7B host gene
,A_32_P149625,9.21E-01,8.91E-01,0.137112,-6.363246,0.0627321,
KLHL14,A_23_P370830,9.21E-01,8.91E-01,0.137054,-6.363254,0.0508039,kelch like family member 14
DENND2A,A_24_P334726,9.21E-01,8.91E-01,0.136939,-6.36327,0.0716644,DENN domain containing 2A
EVL,A_23_P140427,9.21E-01,8.91E-01,-0.13687,-6.363279,-0.0594688,Enah/Vasp-like
TAF5L,A_23_P35309,9.21E-01,8.91E-01,0.136851,-6.363282,0.0776174,TATA-box binding protein associated factor 5 like
MAP4K5,A_24_P16997,9.21E-01,8.91E-01,-0.136825,-6.363285,-0.0567323,mitogen-activated protein kinase kinase kinase kinase 5
DMXL1,A_23_P250571,9.21E-01,8.92E-01,0.13666,-6.363307,0.0470098,Dmx like 1
MED12L,A_32_P701268,9.21E-01,8.92E-01,0.136629,-6.363311,0.0825774,mediator complex subunit 12 like
RBM5,A_23_P18276,9.21E-01,8.92E-01,0.136624,-6.363312,0.0446815,RNA binding motif protein 5
,A_24_P930707,9.22E-01,8.92E-01,-0.136519,-6.363326,-0.0557994,
CFH,A_23_P200160,9.22E-01,8.92E-01,0.136463,-6.363334,0.0802912,complement factor H
HAPLN2,A_23_P149232,9.22E-01,8.92E-01,0.136101,-6.363382,0.1187001,hyaluronan and proteoglycan link protein 2
LINC00515,A_32_P149060,9.22E-01,8.92E-01,-0.13608,-6.363385,-0.0570548,long intergenic non-protein coding RNA 515
TCP10L,A_23_P350555,9.22E-01,8.92E-01,0.135805,-6.363422,0.0702543,t-complex 10-like
ZNF226,A_23_P218434,9.22E-01,8.92E-01,0.135752,-6.363429,0.068523,zinc finger protein 226
MUC5AC,A_24_P548274,9.22E-01,8.92E-01,-0.135704,-6.363435,-0.064649,"mucin 5AC, oligomeric mucus/gel-forming"
HMGCR,A_32_P15070,9.22E-01,8.93E-01,-0.135206,-6.363501,-0.0514955,3-hydroxy-3-methylglutaryl-CoA reductase
,A_32_P115717,9.23E-01,8.93E-01,-0.135039,-6.363524,-0.112166,
C2orf50,A_24_P297526,9.23E-01,8.93E-01,0.134883,-6.363544,0.0605726,chromosome 2 open reading frame 50
,A_32_P223292,9.23E-01,8.93E-01,0.134843,-6.36355,0.0434143,
PVRIG,A_23_P8424,9.23E-01,8.93E-01,-0.134792,-6.363556,-0.0389431,poliovirus receptor related immunoglobulin domain containing
CXCL12,A_24_P944054,9.23E-01,8.93E-01,-0.134731,-6.363564,-0.0702257,C-X-C motif chemokine ligand 12
PGK1,A_24_P119774,9.23E-01,8.93E-01,-0.134662,-6.363574,-0.0666966,phosphoglycerate kinase 1
,A_32_P20829,9.23E-01,8.93E-01,0.134417,-6.363606,0.0587389,
,A_23_P211326,9.23E-01,8.93E-01,0.134331,-6.363617,0.0506615,
TBC1D22A-AS1,A_24_P400932,9.23E-01,8.94E-01,0.133941,-6.363669,0.0813705,TBC1D22A antisense RNA 1
NDUFA10,A_24_P396889,9.23E-01,8.94E-01,-0.133877,-6.363677,-0.0633422,NADH:ubiquinone oxidoreductase subunit A10
,A_32_P75243,9.23E-01,8.94E-01,-0.13367,-6.363704,-0.0714207,
ADRA1D,A_23_P131924,9.23E-01,8.94E-01,0.133587,-6.363715,0.0391048,adrenoceptor alpha 1D
CTDP1,A_23_P101111,9.23E-01,8.94E-01,-0.13352,-6.363724,-0.0442655,CTD phosphatase subunit 1
PURG,A_24_P42446,9.24E-01,8.94E-01,0.133457,-6.363732,0.0683192,purine rich element binding protein G
,A_24_P350514,9.24E-01,8.94E-01,-0.133435,-6.363735,-0.0499673,
KLF12,A_23_P354805,9.24E-01,8.94E-01,-0.133336,-6.363748,-0.1096052,Kruppel like factor 12
,A_32_P10643,9.24E-01,8.94E-01,-0.133292,-6.363754,-0.0472338,
ZNF665,A_32_P79591,9.24E-01,8.94E-01,-0.133226,-6.363763,-0.06477,zinc finger protein 665
ULK3,A_23_P206107,9.24E-01,8.94E-01,0.133036,-6.363787,0.0473301,unc-51 like kinase 3
ZNF618,A_23_P302320,9.24E-01,8.94E-01,0.133034,-6.363788,0.0549545,zinc finger protein 618
PIAS2,A_23_P130316,9.24E-01,8.95E-01,0.13292,-6.363803,0.090163,protein inhibitor of activated STAT 2
MFNG,A_24_P224926,9.24E-01,8.95E-01,0.132819,-6.363816,0.0590698,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
,A_32_P218806,9.24E-01,8.95E-01,0.132677,-6.363834,0.0434505,
,A_24_P932468,9.24E-01,8.95E-01,0.132662,-6.363836,0.0709768,
MPPED2,A_32_P105825,9.24E-01,8.95E-01,0.132649,-6.363838,0.0465246,metallophosphoesterase domain containing 2
HMGCLL1,A_32_P49508,9.24E-01,8.95E-01,-0.13257,-6.363848,-0.0438319,3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1
DRAXIN,A_24_P109417,9.24E-01,8.95E-01,-0.132457,-6.363863,-0.0517344,dorsal inhibitory axon guidance protein
CASD1,A_23_P215604,9.24E-01,8.95E-01,-0.132369,-6.363874,-0.0694866,CAS1 domain containing 1
FMO1,A_23_P149613,9.24E-01,8.95E-01,0.132349,-6.363877,0.0523544,flavin containing monooxygenase 1
,A_24_P409440,9.24E-01,8.95E-01,-0.132308,-6.363882,-0.077278,
,A_32_P91821,9.24E-01,8.95E-01,-0.132248,-6.36389,-0.046767,
OR2A20P,A_24_P506816,9.24E-01,8.95E-01,-0.131928,-6.363932,-0.0673027,olfactory receptor family 2 subfamily A member 20 pseudogene
MROH5,A_24_P931007,9.24E-01,8.95E-01,0.13189,-6.363937,0.067817,maestro heat like repeat family member 5
PRR5L,A_24_P295633,9.24E-01,8.95E-01,0.131775,-6.363951,0.0724123,proline rich 5 like
CPA5,A_23_P215109,9.24E-01,8.95E-01,-0.131748,-6.363955,-0.0448046,carboxypeptidase A5
ADCY6,A_23_P501547,9.24E-01,8.96E-01,0.131692,-6.363962,0.0517523,adenylate cyclase 6
,A_24_P374984,9.24E-01,8.96E-01,0.131613,-6.363972,0.0600061,
LOC100132287,A_24_P720185,9.25E-01,8.96E-01,-0.131463,-6.363992,-0.031172,uncharacterized LOC100132287
,A_23_P123018,9.25E-01,8.96E-01,0.131388,-6.364002,0.0438737,
POU3F3,A_24_P34575,9.25E-01,8.96E-01,-0.131174,-6.364029,-0.0608989,POU class 3 homeobox 3
TNK1,A_23_P107064,9.25E-01,8.96E-01,0.13111,-6.364037,0.0432252,tyrosine kinase non receptor 1
,A_24_P878366,9.25E-01,8.96E-01,0.131043,-6.364046,0.0359169,
PROP1,A_23_P135848,9.25E-01,8.96E-01,-0.130858,-6.36407,-0.0337258,PROP paired-like homeobox 1
FLJ35700,A_24_P211832,9.25E-01,8.96E-01,0.130814,-6.364075,0.0763625,uncharacterized protein FLJ35700
,A_32_P46146,9.25E-01,8.96E-01,0.130784,-6.364079,0.0517364,
TIAM1,A_23_P17624,9.25E-01,8.96E-01,0.13074,-6.364085,0.0350003,T-cell lymphoma invasion and metastasis 1
PTF1A,A_24_P919916,9.25E-01,8.96E-01,-0.130721,-6.364087,-0.0397215,"pancreas specific transcription factor, 1a"
FRMPD2,A_23_P86710,9.25E-01,8.96E-01,0.130655,-6.364096,0.0636786,FERM and PDZ domain containing 2
ACAP1,A_23_P107336,9.25E-01,8.97E-01,-0.130453,-6.364122,-0.0543415,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
ELMOD3,A_24_P937435,9.25E-01,8.97E-01,-0.130414,-6.364127,-0.0594726,ELMO domain containing 3
,A_24_P699733,9.25E-01,8.97E-01,-0.130414,-6.364127,-0.0556958,
HNF1A,A_23_P36757,9.25E-01,8.97E-01,0.130232,-6.36415,0.0320493,HNF1 homeobox A
NADK,A_23_P200056,9.25E-01,8.97E-01,-0.129937,-6.364188,-0.0425898,NAD kinase
,A_32_P82507,9.26E-01,8.97E-01,0.1298,-6.364205,0.0506742,
DGKD,A_23_P210253,9.26E-01,8.97E-01,-0.129761,-6.36421,-0.0346202,diacylglycerol kinase delta
UBQLN3,A_23_P98830,9.26E-01,8.97E-01,-0.12964,-6.364226,-0.0420311,ubiquilin 3
ALS2CL,A_32_P420009,9.26E-01,8.97E-01,0.129626,-6.364227,0.0400163,ALS2 C-terminal like
SERPINA3,A_23_P2920,9.26E-01,8.97E-01,0.129443,-6.364251,0.1390596,serpin family A member 3
DACT1,A_23_P65518,9.26E-01,8.97E-01,0.129431,-6.364252,0.0999195,dishevelled binding antagonist of beta catenin 1
DNHD1,A_23_P367586,9.26E-01,8.97E-01,0.129401,-6.364256,0.0474393,dynein heavy chain domain 1
KIF1B,A_23_P331638,9.26E-01,8.98E-01,0.12918,-6.364284,0.0601512,kinesin family member 1B
,A_24_P384469,9.26E-01,8.98E-01,-0.129051,-6.364301,-0.0329659,
EIF2A,A_32_P197524,9.26E-01,8.98E-01,-0.128995,-6.364308,-0.0570758,eukaryotic translation initiation factor 2A
SYNPO2,A_24_P119665,9.26E-01,8.98E-01,-0.128979,-6.36431,-0.0441279,synaptopodin 2
HNF1A-AS1,A_24_P314515,9.26E-01,8.98E-01,-0.128977,-6.36431,-0.0569243,HNF1A antisense RNA 1
,A_32_P86682,9.26E-01,8.98E-01,-0.128782,-6.364335,-0.046058,
MTRNR2L2,A_24_P42453,9.26E-01,8.98E-01,0.128727,-6.364342,0.0404921,MT-RNR2-like 2
POLR2A,A_24_P308128,9.26E-01,8.98E-01,-0.128645,-6.364352,-0.0552567,RNA polymerase II subunit A
ZNF776,A_24_P358138,9.26E-01,8.98E-01,-0.128624,-6.364355,-0.0471599,zinc finger protein 776
DAZ2,A_23_P259934,9.26E-01,8.98E-01,-0.12847,-6.364374,-0.0570403,deleted in azoospermia 2
,A_24_P832737,9.26E-01,8.98E-01,0.128368,-6.364387,0.0593927,
GFRA4,A_24_P365496,9.27E-01,8.98E-01,0.127945,-6.36444,0.0366817,GDNF family receptor alpha 4
WFDC11,A_23_P374216,9.27E-01,8.99E-01,0.127876,-6.364449,0.0544744,WAP four-disulfide core domain 11
MAOB,A_23_P85015,9.27E-01,8.99E-01,0.12758,-6.364486,0.1001285,monoamine oxidase B
PPP6R1,A_24_P190402,9.27E-01,8.99E-01,-0.127446,-6.364503,-0.033166,protein phosphatase 6 regulatory subunit 1
TRIM62,A_23_P112602,9.27E-01,8.99E-01,-0.127273,-6.364525,-0.0399735,tripartite motif containing 62
,A_32_P41526,9.27E-01,8.99E-01,0.127066,-6.36455,0.0398073,
NDUFA10,A_24_P396881,9.27E-01,8.99E-01,-0.127055,-6.364552,-0.0463293,NADH:ubiquinone oxidoreductase subunit A10
EPS15L1,A_24_P111019,9.27E-01,8.99E-01,-0.12705,-6.364552,-0.0504732,epidermal growth factor receptor pathway substrate 15 like 1
KLHL14,A_32_P75357,9.27E-01,8.99E-01,-0.12703,-6.364555,-0.0590887,kelch like family member 14
APC,A_23_P70213,9.27E-01,8.99E-01,0.126876,-6.364574,0.0606921,"APC, WNT signaling pathway regulator"
FA2H,A_23_P49448,9.28E-01,9.00E-01,-0.126337,-6.364641,-0.0610619,fatty acid 2-hydroxylase
CYSLTR2,A_23_P319466,9.28E-01,9.00E-01,-0.126077,-6.364673,-0.063711,cysteinyl leukotriene receptor 2
MEG3,A_24_P737660,9.28E-01,9.00E-01,-0.126007,-6.364682,-0.0488081,maternally expressed 3 (non-protein coding)
LINC00950,A_32_P47157,9.28E-01,9.00E-01,0.125885,-6.364697,0.0678586,long intergenic non-protein coding RNA 950
KAT6B,A_23_P388855,9.28E-01,9.00E-01,0.125853,-6.364701,0.0462708,lysine acetyltransferase 6B
ZFPM2,A_23_P168909,9.28E-01,9.00E-01,-0.125831,-6.364704,-0.0814699,"zinc finger protein, FOG family member 2"
MAB21L1,A_23_P53884,9.28E-01,9.00E-01,0.125789,-6.364709,0.0516866,mab-21 like 1
GRIA3,A_24_P229025,9.28E-01,9.00E-01,-0.125782,-6.36471,-0.0687955,glutamate ionotropic receptor AMPA type subunit 3
SLC35A3,A_23_P34460,9.28E-01,9.00E-01,0.125529,-6.364741,0.0640266,solute carrier family 35 member A3
UGT2A1,A_23_P212954,9.28E-01,9.00E-01,-0.125526,-6.364742,-0.0403272,UDP glucuronosyltransferase family 2 member A1 complex locus
AFAP1L2,A_24_P33770,9.28E-01,9.00E-01,0.125486,-6.364747,0.0603232,actin filament associated protein 1 like 2
TAOK2,A_23_P308673,9.28E-01,9.01E-01,-0.125136,-6.36479,-0.0502678,TAO kinase 2
STIM2,A_23_P81048,9.29E-01,9.01E-01,0.124776,-6.364834,0.0499581,stromal interaction molecule 2
GOLGA2P10,A_23_P129103,9.29E-01,9.01E-01,0.124665,-6.364847,0.0449125,golgin A2 pseudogene 10
MUC6,A_24_P752518,9.29E-01,9.01E-01,-0.124645,-6.36485,-0.0430872,"mucin 6, oligomeric mucus/gel-forming"
,A_24_P41306,9.29E-01,9.01E-01,-0.12459,-6.364857,-0.0535982,
,A_32_P98793,9.29E-01,9.01E-01,-0.124466,-6.364872,-0.0476162,
SLAMF1,A_23_P62652,9.29E-01,9.01E-01,0.124466,-6.364872,0.0688529,signaling lymphocytic activation molecule family member 1
,A_23_P376686,9.29E-01,9.01E-01,-0.124371,-6.364883,-0.0407654,
CASP7,A_23_P12572,9.29E-01,9.01E-01,0.124232,-6.3649,0.0466737,caspase 7
,A_32_P152986,9.29E-01,9.01E-01,0.124221,-6.364902,0.0971329,
WASH1,A_23_P325339,9.29E-01,9.01E-01,-0.124208,-6.364903,-0.0453721,WAS protein family homolog 1
,A_23_P313031,9.29E-01,9.01E-01,0.124193,-6.364905,0.0276861,
,A_32_P151909,9.29E-01,9.01E-01,0.12415,-6.36491,0.0802525,
C19orf33,A_23_P208788,9.29E-01,9.02E-01,0.123902,-6.364941,0.0608079,chromosome 19 open reading frame 33
,A_32_P78285,9.29E-01,9.02E-01,-0.123885,-6.364943,-0.095513,
MYADM,A_23_P399112,9.29E-01,9.02E-01,0.123842,-6.364948,0.0344049,myeloid associated differentiation marker
,A_24_P917332,9.29E-01,9.02E-01,-0.123808,-6.364952,-0.0375519,
,A_32_P77416,9.29E-01,9.02E-01,-0.123723,-6.364962,-0.1447784,
SPDYA,A_32_P102935,9.29E-01,9.02E-01,-0.123721,-6.364963,-0.0708383,speedy/RINGO cell cycle regulator family member A
LPP,A_32_P39049,9.29E-01,9.02E-01,0.123637,-6.364973,0.0403261,LIM domain containing preferred translocation partner in lipoma
,A_24_P716249,9.29E-01,9.02E-01,-0.123617,-6.364975,-0.0715438,
HRH3,A_23_P412990,9.29E-01,9.02E-01,0.12357,-6.364981,0.0643466,histamine receptor H3
C18orf8,A_23_P78383,9.29E-01,9.02E-01,-0.123523,-6.364987,-0.0470788,chromosome 18 open reading frame 8
BMP2K,A_23_P334282,9.29E-01,9.02E-01,0.123449,-6.364996,0.0434432,BMP2 inducible kinase
,A_32_P116538,9.29E-01,9.02E-01,-0.123448,-6.364996,-0.0568326,
CYTH4,A_24_P74559,9.29E-01,9.02E-01,0.123427,-6.364998,0.0553465,cytohesin 4
MCL1,A_24_P319635,9.29E-01,9.02E-01,0.123423,-6.364999,0.053268,BCL2 family apoptosis regulator
PLA2G1B,A_24_P224116,9.29E-01,9.02E-01,-0.123295,-6.365014,-0.0693106,phospholipase A2 group IB
KMT2E,A_24_P196704,9.29E-01,9.02E-01,-0.123234,-6.365022,-0.0308462,lysine methyltransferase 2E
,A_32_P87476,9.29E-01,9.02E-01,-0.123165,-6.36503,-0.0400107,
,A_32_P12122,9.29E-01,9.02E-01,0.123143,-6.365033,0.0424284,
,A_24_P913835,9.29E-01,9.02E-01,-0.123074,-6.365041,-0.0589269,
UTY,A_23_P329835,9.29E-01,9.02E-01,-0.122938,-6.365058,-0.1025458,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"
LOC400620,A_24_P85348,9.30E-01,9.03E-01,0.122797,-6.365075,0.0509608,uncharacterized LOC400620
,A_24_P944291,9.30E-01,9.03E-01,0.122772,-6.365078,0.0521669,
,A_23_P142197,9.30E-01,9.03E-01,0.122717,-6.365084,0.0337085,
,A_32_P111751,9.30E-01,9.03E-01,-0.122618,-6.365096,-0.0405604,
GIMAP5,A_23_P42588,9.30E-01,9.03E-01,-0.122562,-6.365103,-0.0683268,"GTPase, IMAP family member 5"
KRBOX1,A_23_P80551,9.30E-01,9.03E-01,-0.122508,-6.365109,-0.1229423,KRAB box domain containing 1
HDGFRP3,A_23_P344451,9.30E-01,9.03E-01,0.12244,-6.365118,0.115295,"hepatoma-derived growth factor, related protein 3"
FAM167B,A_23_P96955,9.30E-01,9.03E-01,0.122283,-6.365136,0.0376972,family with sequence similarity 167 member B
MAP2K6,A_23_P207445,9.30E-01,9.03E-01,-0.122199,-6.365146,-0.0560465,mitogen-activated protein kinase kinase 6
TAS2R19,A_23_P340308,9.30E-01,9.03E-01,-0.122146,-6.365153,-0.057154,taste 2 receptor member 19
RSAD2,A_24_P316965,9.30E-01,9.03E-01,0.122127,-6.365155,0.0666192,radical S-adenosyl methionine domain containing 2
MIDN,A_24_P912204,9.30E-01,9.03E-01,-0.122065,-6.365163,-0.0587679,midnolin
NUDT8,A_23_P52569,9.30E-01,9.03E-01,0.121938,-6.365178,0.0582472,nudix hydrolase 8
GGT8P,A_24_P375322,9.30E-01,9.03E-01,-0.121877,-6.365185,-0.0645542,gamma-glutamyltransferase 8 pseudogene
,A_24_P922893,9.30E-01,9.03E-01,-0.121876,-6.365185,-0.0509354,
PBLD,A_24_P112395,9.30E-01,9.03E-01,0.121845,-6.365189,0.0685794,phenazine biosynthesis like protein domain containing
CGN,A_24_P45728,9.30E-01,9.03E-01,-0.121674,-6.365209,-0.0493843,cingulin
KIAA1522,A_23_P410965,9.30E-01,9.03E-01,0.121672,-6.36521,0.0440475,KIAA1522
LINC01304,A_32_P197744,9.30E-01,9.04E-01,0.121569,-6.365222,0.0505046,long intergenic non-protein coding RNA 1304
LOC100132006,A_24_P934473,9.30E-01,9.04E-01,0.121549,-6.365224,0.0477083,uncharacterized LOC100132006
CFAP44,A_23_P110090,9.30E-01,9.04E-01,-0.12153,-6.365227,-0.0608203,cilia and flagella associated protein 44
FGF7,A_23_P14612,9.30E-01,9.04E-01,-0.121477,-6.365233,-0.0789515,fibroblast growth factor 7
AAK1,A_23_P209826,9.30E-01,9.04E-01,0.121203,-6.365266,0.0349316,AP2 associated kinase 1
,A_32_P27558,9.30E-01,9.04E-01,0.121092,-6.365279,0.0618005,
,A_32_P95176,9.31E-01,9.04E-01,0.120913,-6.3653,0.0332645,
FBXO40,A_23_P121013,9.31E-01,9.04E-01,-0.120801,-6.365314,-0.0631481,F-box protein 40
FAM179A,A_24_P929367,9.31E-01,9.04E-01,-0.120535,-6.365345,-0.0346848,family with sequence similarity 179 member A
,A_32_P124833,9.31E-01,9.04E-01,0.120518,-6.365347,0.0587931,
DDR2,A_32_P88965,9.31E-01,9.04E-01,-0.120404,-6.365361,-0.0441516,discoidin domain receptor tyrosine kinase 2
LNPEP,A_24_P237559,9.31E-01,9.04E-01,-0.120398,-6.365361,-0.0627352,leucyl and cystinyl aminopeptidase
,A_32_P83221,9.31E-01,9.04E-01,-0.120374,-6.365364,-0.0497658,
PTN,A_23_P303087,9.31E-01,9.05E-01,-0.120249,-6.365379,-0.0709095,pleiotrophin
RBPJL,A_23_P346884,9.31E-01,9.05E-01,-0.119667,-6.365448,-0.0524592,recombination signal binding protein for immunoglobulin kappa J region like
,A_24_P366989,9.31E-01,9.05E-01,0.119619,-6.365453,0.0409588,
NOSTRIN,A_23_P79360,9.32E-01,9.05E-01,0.119393,-6.36548,0.0606001,nitric oxide synthase trafficking
,A_24_P76707,9.32E-01,9.05E-01,-0.119288,-6.365492,-0.0411454,
ARSA,A_23_P255436,9.32E-01,9.06E-01,-0.119072,-6.365517,-0.0416261,arylsulfatase A
TRIM52,A_24_P260582,9.32E-01,9.06E-01,0.119006,-6.365525,0.0439598,tripartite motif containing 52
C9orf135,A_24_P255100,9.32E-01,9.06E-01,0.118769,-6.365553,0.0508359,chromosome 9 open reading frame 135
,A_32_P129416,9.32E-01,9.06E-01,-0.118674,-6.365564,-0.0602772,
,A_24_P287526,9.32E-01,9.06E-01,-0.118501,-6.365584,-0.0268386,
,A_24_P384979,9.32E-01,9.06E-01,-0.118498,-6.365584,-0.0414274,
ZNF80,A_23_P256526,9.32E-01,9.06E-01,-0.118423,-6.365593,-0.0397002,zinc finger protein 80
RCAN2,A_32_P156851,9.32E-01,9.06E-01,0.118283,-6.365609,0.0691498,regulator of calcineurin 2
,A_32_P114087,9.32E-01,9.06E-01,-0.118235,-6.365615,-0.0433309,
SLC37A2,A_23_P86931,9.32E-01,9.06E-01,-0.118227,-6.365616,-0.0542167,solute carrier family 37 member 2
LOC100133050,A_32_P39003,9.32E-01,9.06E-01,0.118172,-6.365622,0.0376713,glucuronidase beta pseudogene
,A_24_P911857,9.32E-01,9.06E-01,0.118128,-6.365627,0.0494325,
PDK4,A_24_P243749,9.32E-01,9.06E-01,0.118117,-6.365629,0.0768385,pyruvate dehydrogenase kinase 4
PACRG,A_23_P170901,9.32E-01,9.06E-01,-0.118114,-6.365629,-0.0360557,PARK2 coregulated
ZNF134,A_23_P325661,9.32E-01,9.06E-01,0.117986,-6.365644,0.0972807,zinc finger protein 134
,A_24_P740774,9.32E-01,9.06E-01,-0.117849,-6.36566,-0.0529493,
LOC100131170,A_24_P315547,9.32E-01,9.07E-01,-0.117743,-6.365672,-0.0435531,uncharacterized LOC100131170
CCIN,A_23_P60227,9.33E-01,9.07E-01,0.117611,-6.365687,0.0354862,calicin
CLDN3,A_24_P35109,9.33E-01,9.07E-01,0.117568,-6.365692,0.0472962,claudin 3
PILRA,A_23_P31224,9.33E-01,9.07E-01,0.117534,-6.365696,0.039989,paired immunoglobin like type 2 receptor alpha
ACAD10,A_24_P227450,9.33E-01,9.07E-01,-0.117419,-6.365709,-0.0291768,acyl-CoA dehydrogenase family member 10
,A_24_P657695,9.33E-01,9.07E-01,0.117418,-6.36571,0.0534229,
APLP1,A_23_P27983,9.33E-01,9.07E-01,0.117366,-6.365715,0.0298793,amyloid beta precursor like protein 1
,A_24_P315854,9.33E-01,9.07E-01,0.117359,-6.365716,0.0819634,
ZNF568,A_23_P67737,9.33E-01,9.07E-01,0.117263,-6.365727,0.0504629,zinc finger protein 568
LINC00470,A_23_P360534,9.33E-01,9.07E-01,0.117257,-6.365728,0.0569873,long intergenic non-protein coding RNA 470
MMAB,A_24_P56221,9.33E-01,9.07E-01,0.117202,-6.365734,0.0494314,methylmalonic aciduria (cobalamin deficiency) cblB type
GPR12,A_23_P48320,9.33E-01,9.07E-01,0.117068,-6.36575,0.0353923,G protein-coupled receptor 12
,A_24_P147849,9.33E-01,9.07E-01,-0.116939,-6.365765,-0.0379354,
P2RY8,A_24_P340128,9.33E-01,9.07E-01,-0.116854,-6.365774,-0.0541012,purinergic receptor P2Y8
VPS37B,A_23_P150876,9.33E-01,9.07E-01,0.116791,-6.365782,0.0421928,"VPS37B, ESCRT-I subunit"
,A_23_P161706,9.33E-01,9.07E-01,0.116738,-6.365788,0.0477466,
,A_24_P119783,9.33E-01,9.07E-01,0.116671,-6.365795,0.082129,
DENND4A,A_24_P136497,9.33E-01,9.07E-01,-0.116602,-6.365803,-0.0433698,DENN domain containing 4A
CST11,A_23_P120588,9.33E-01,9.08E-01,-0.116434,-6.365823,-0.0455066,cystatin 11
GNPTAB,A_23_P204380,9.33E-01,9.08E-01,0.116393,-6.365827,0.0606903,N-acetylglucosamine-1-phosphate transferase alpha and beta subunits
ZMYND11,A_23_P75083,9.33E-01,9.08E-01,-0.116332,-6.365834,-0.0361388,zinc finger MYND-type containing 11
PNMAL2,A_23_P383101,9.33E-01,9.08E-01,0.116322,-6.365835,0.0531317,paraneoplastic Ma antigen family-like 2
SERPINA5,A_23_P205355,9.33E-01,9.08E-01,-0.116142,-6.365856,-0.0597505,serpin family A member 5
ABLIM1,A_23_P202520,9.33E-01,9.08E-01,0.116133,-6.365857,0.0405607,actin binding LIM protein 1
,A_24_P482124,9.33E-01,9.08E-01,0.116105,-6.36586,0.0526741,
,A_32_P221641,9.33E-01,9.08E-01,-0.116013,-6.365871,-0.051406,
LSS,A_24_P162211,9.33E-01,9.08E-01,-0.115907,-6.365883,-0.0653641,"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)"
BOLA2-SMG1P6,A_32_P225734,9.33E-01,9.08E-01,-0.115735,-6.365902,-0.0355215,BOLA2-SMG1P6 readthrough
,A_32_P163014,9.34E-01,9.08E-01,-0.115662,-6.365911,-0.0290091,
MEX3D,A_23_P39453,9.34E-01,9.08E-01,-0.115622,-6.365915,-0.0289869,mex-3 RNA binding family member D
,A_32_P139815,9.34E-01,9.08E-01,0.115617,-6.365916,0.0640752,
,A_32_P121978,9.34E-01,9.08E-01,0.115549,-6.365923,0.0486794,
VIMP,A_24_P912889,9.34E-01,9.08E-01,-0.115312,-6.36595,-0.0485749,VCP interacting membrane selenoprotein
KIF1B,A_24_P145066,9.34E-01,9.08E-01,0.115285,-6.365953,0.0448806,kinesin family member 1B
,A_32_P175567,9.34E-01,9.09E-01,0.115074,-6.365977,0.0412077,
,A_23_P329062,9.34E-01,9.09E-01,0.115057,-6.365979,0.0274784,
CTAGE1,A_24_P305223,9.34E-01,9.09E-01,-0.115041,-6.365981,-0.0517725,cutaneous T-cell lymphoma-associated antigen 1
RAB32,A_23_P42375,9.34E-01,9.09E-01,0.115026,-6.365983,0.0726605,"RAB32, member RAS oncogene family"
KCNE4,A_23_P392575,9.34E-01,9.09E-01,0.114999,-6.365986,0.0587975,potassium voltage-gated channel subfamily E regulatory subunit 4
LAT2,A_24_P351852,9.34E-01,9.09E-01,0.114775,-6.366011,0.0384739,linker for activation of T-cells family member 2
CCDC189,A_24_P842006,9.34E-01,9.09E-01,0.114542,-6.366037,0.0458291,coiled-coil domain containing 189
NFATC1,A_24_P258846,9.34E-01,9.09E-01,0.114525,-6.366039,0.0550229,nuclear factor of activated T-cells 1
WNT2B,A_23_P138352,9.34E-01,9.09E-01,-0.114523,-6.366039,-0.1186566,Wnt family member 2B
POLK,A_24_P923478,9.34E-01,9.09E-01,-0.114365,-6.366057,-0.0414217,DNA polymerase kappa
SCT,A_23_P104594,9.34E-01,9.09E-01,-0.114332,-6.366061,-0.0592239,secretin
,A_32_P13533,9.34E-01,9.09E-01,0.11421,-6.366075,0.0467529,
HES1,A_23_P17998,9.34E-01,9.09E-01,0.114074,-6.36609,0.0423078,hes family bHLH transcription factor 1
,A_32_P140179,9.34E-01,9.10E-01,0.113973,-6.366101,0.0443778,
,A_32_P38445,9.34E-01,9.10E-01,-0.113966,-6.366102,-0.0332061,
PAX6,A_23_P1823,9.34E-01,9.10E-01,-0.113961,-6.366103,-0.1115887,paired box 6
,A_24_P925100,9.34E-01,9.10E-01,0.113922,-6.366107,0.0408579,
DNAJC5G,A_23_P417921,9.35E-01,9.10E-01,-0.113772,-6.366124,-0.0473951,DnaJ heat shock protein family (Hsp40) member C5 gamma
LOC100132363,A_24_P102261,9.35E-01,9.10E-01,-0.113749,-6.366126,-0.0509964,uncharacterized LOC100132363
,A_32_P86820,9.35E-01,9.10E-01,0.113633,-6.366139,0.0391081,
